dataset,standardization_scope,metric,case,delta_APA_minus_AAG
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CH042,0.8390388255046364
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CH049,0.30384927488137964
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CN032,0.7781967211970175
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CN059,0.5124115205740116
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CN062,0.5417531236331345
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CN067,2.094366359092108
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CH018,-0.7059065889744067
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CH040,1.027793095564494
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CH042,0.7695888656327847
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CH049,0.268269217480024
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CN032,0.7118750376210742
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CN059,0.5082547943672658
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CN062,0.4833622526697747
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score_CYP11B2_free,CN067,2.042778075069205
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CH018,-0.9631239753246934
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CH040,1.308158205542498
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CH042,0.48683957615092543
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CH049,0.017604764141622486
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CN032,1.4631264260894676
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CN059,0.3064029229158536
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CN062,0.2533578885716874
GSE156931,all_24_samples_sensitivity,ZG_vs_ZF_axis_score,CN067,2.0294848948250443
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CH018,-0.8870553890554091
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CH040,0.8504906663669721
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CH042,0.49000040339135303
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CH049,-0.043848093978477
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CN032,1.2788687567504815
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CN059,0.05339195887125431
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CN062,-0.07531732783224232
GSE156931,all_24_samples_sensitivity,aldosterone_specificity_score,CN067,0.04833811487017481
GSE156931,all_24_samples_sensitivity,housekeeping_control,CH018,-0.6717494876578862
GSE156931,all_24_samples_sensitivity,housekeeping_control,CH040,-0.15105477037216958
GSE156931,all_24_samples_sensitivity,housekeeping_control,CH042,-0.2090827390713086
GSE156931,all_24_samples_sensitivity,housekeeping_control,CH049,-0.1429006888542405
GSE156931,all_24_samples_sensitivity,housekeeping_control,CN032,-0.3538348317055329
GSE156931,all_24_samples_sensitivity,housekeeping_control,CN059,-0.006321799398749661
GSE156931,all_24_samples_sensitivity,housekeeping_control,CN062,0.4408407713330054
GSE156931,all_24_samples_sensitivity,housekeeping_control,CN067,0.7007380813898765
